layer,bbq_correct,bbq_accuracy
1,0,0.0
2,96,0.32
3,169,0.5633333333333334
4,135,0.45
5,133,0.44333333333333336
6,131,0.43666666666666665
7,128,0.4266666666666667
8,137,0.45666666666666667
9,138,0.46
10,135,0.45
11,137,0.45666666666666667
12,142,0.47333333333333333
13,166,0.5533333333333333
14,164,0.5466666666666666
15,162,0.54
16,142,0.47333333333333333
17,143,0.4766666666666667
18,144,0.48
19,141,0.47
20,141,0.47
21,140,0.4666666666666667
22,140,0.4666666666666667
23,141,0.47
24,141,0.47
25,138,0.46
26,138,0.46
27,138,0.46
28,138,0.46
29,137,0.45666666666666667
30,137,0.45666666666666667
31,138,0.46
