layer,bbq_correct,bbq_accuracy
1,3,0.01
2,99,0.33
3,129,0.43
4,168,0.56
5,172,0.5733333333333334
6,160,0.5333333333333333
7,164,0.5466666666666666
8,175,0.5833333333333334
9,186,0.62
10,172,0.5733333333333334
11,183,0.61
12,174,0.58
13,185,0.6166666666666667
14,179,0.5966666666666667
15,174,0.58
16,172,0.5733333333333334
17,170,0.5666666666666667
18,165,0.55
19,166,0.5533333333333333
20,167,0.5566666666666666
21,168,0.56
22,169,0.5633333333333334
23,169,0.5633333333333334
24,169,0.5633333333333334
25,169,0.5633333333333334
26,169,0.5633333333333334
27,169,0.5633333333333334
28,170,0.5666666666666667
29,170,0.5666666666666667
30,171,0.57
31,171,0.57
