layer,bbq_correct,bbq_accuracy
1,0,0.0
2,124,0.41333333333333333
3,126,0.42
4,169,0.5633333333333334
5,169,0.5633333333333334
6,156,0.52
7,188,0.6266666666666667
8,154,0.5133333333333333
9,162,0.54
10,168,0.56
11,172,0.5733333333333334
12,165,0.55
13,171,0.57
14,168,0.56
15,170,0.5666666666666667
16,171,0.57
17,170,0.5666666666666667
18,173,0.5766666666666667
19,171,0.57
20,171,0.57
21,171,0.57
22,171,0.57
23,171,0.57
24,171,0.57
25,171,0.57
26,171,0.57
27,171,0.57
28,171,0.57
29,171,0.57
30,170,0.5666666666666667
31,170,0.5666666666666667
