layer,bbq_correct,bbq_accuracy
1,0,0.0
2,94,0.31333333333333335
3,200,0.6666666666666666
4,163,0.5433333333333333
5,174,0.58
6,157,0.5233333333333333
7,165,0.55
8,173,0.5766666666666667
9,166,0.5533333333333333
10,147,0.49
11,174,0.58
12,182,0.6066666666666667
13,191,0.6366666666666667
14,186,0.62
15,185,0.6166666666666667
16,174,0.58
17,178,0.5933333333333334
18,173,0.5766666666666667
19,170,0.5666666666666667
20,169,0.5633333333333334
21,168,0.56
22,168,0.56
23,169,0.5633333333333334
24,169,0.5633333333333334
25,168,0.56
26,170,0.5666666666666667
27,170,0.5666666666666667
28,169,0.5633333333333334
29,170,0.5666666666666667
30,169,0.5633333333333334
31,169,0.5633333333333334
