layer,bbq_correct,bbq_accuracy
1,0,0.0
2,96,0.32
3,200,0.6666666666666666
4,167,0.5566666666666666
5,165,0.55
6,156,0.52
7,165,0.55
8,164,0.5466666666666666
9,162,0.54
10,151,0.5033333333333333
11,171,0.57
12,184,0.6133333333333333
13,190,0.6333333333333333
14,186,0.62
15,187,0.6233333333333333
16,175,0.5833333333333334
17,178,0.5933333333333334
18,172,0.5733333333333334
19,170,0.5666666666666667
20,170,0.5666666666666667
21,169,0.5633333333333334
22,169,0.5633333333333334
23,169,0.5633333333333334
24,169,0.5633333333333334
25,169,0.5633333333333334
26,168,0.56
27,170,0.5666666666666667
28,170,0.5666666666666667
29,169,0.5633333333333334
30,170,0.5666666666666667
31,170,0.5666666666666667
