layer,bbq_correct,bbq_accuracy
1,0,0.0
2,2,0.006666666666666667
3,160,0.5333333333333333
4,174,0.58
5,195,0.65
6,204,0.68
7,202,0.6733333333333333
8,177,0.59
9,167,0.5566666666666666
10,148,0.49333333333333335
11,152,0.5066666666666667
12,166,0.5533333333333333
13,177,0.59
14,165,0.55
15,163,0.5433333333333333
16,151,0.5033333333333333
17,150,0.5
18,155,0.5166666666666667
19,151,0.5033333333333333
20,149,0.49666666666666665
21,148,0.49333333333333335
22,148,0.49333333333333335
23,150,0.5
24,150,0.5
25,150,0.5
26,150,0.5
27,150,0.5
28,151,0.5033333333333333
29,150,0.5
30,150,0.5
31,149,0.49666666666666665
