layer,bbq_correct,bbq_accuracy
1,0,0.0
2,81,0.27
3,137,0.45666666666666667
4,196,0.6533333333333333
5,171,0.57
6,172,0.5733333333333334
7,178,0.5933333333333334
8,152,0.5066666666666667
9,167,0.5566666666666666
10,156,0.52
11,137,0.45666666666666667
12,148,0.49333333333333335
13,160,0.5333333333333333
14,152,0.5066666666666667
15,153,0.51
16,147,0.49
17,149,0.49666666666666665
18,151,0.5033333333333333
19,151,0.5033333333333333
20,151,0.5033333333333333
21,150,0.5
22,151,0.5033333333333333
23,151,0.5033333333333333
24,151,0.5033333333333333
25,151,0.5033333333333333
26,151,0.5033333333333333
27,151,0.5033333333333333
28,152,0.5066666666666667
29,151,0.5033333333333333
30,151,0.5033333333333333
31,151,0.5033333333333333
