layer,bbq_correct,bbq_accuracy
1,0,0.0
2,94,0.31333333333333335
3,214,0.7133333333333334
4,179,0.5966666666666667
5,169,0.5633333333333334
6,134,0.44666666666666666
7,159,0.53
8,146,0.4866666666666667
9,145,0.48333333333333334
10,132,0.44
11,151,0.5033333333333333
12,150,0.5
13,210,0.7
14,201,0.67
15,195,0.65
16,172,0.5733333333333334
17,176,0.5866666666666667
18,173,0.5766666666666667
19,155,0.5166666666666667
20,154,0.5133333333333333
21,153,0.51
22,154,0.5133333333333333
23,151,0.5033333333333333
24,153,0.51
25,154,0.5133333333333333
26,154,0.5133333333333333
27,153,0.51
28,154,0.5133333333333333
29,154,0.5133333333333333
30,153,0.51
31,153,0.51
