layer,bbq_correct,bbq_accuracy
1,0,0.0
2,94,0.31333333333333335
3,203,0.6766666666666666
4,185,0.6166666666666667
5,157,0.5233333333333333
6,130,0.43333333333333335
7,161,0.5366666666666666
8,155,0.5166666666666667
9,134,0.44666666666666666
10,128,0.4266666666666667
11,143,0.4766666666666667
12,144,0.48
13,205,0.6833333333333333
14,199,0.6633333333333333
15,196,0.6533333333333333
16,171,0.57
17,183,0.61
18,175,0.5833333333333334
19,154,0.5133333333333333
20,154,0.5133333333333333
21,152,0.5066666666666667
22,153,0.51
23,152,0.5066666666666667
24,152,0.5066666666666667
25,152,0.5066666666666667
26,153,0.51
27,152,0.5066666666666667
28,151,0.5033333333333333
29,151,0.5033333333333333
30,151,0.5033333333333333
31,153,0.51
