layer,sep_score
1,0.5183333333333333
2,0.5383333333333334
3,0.5383333333333333
4,0.5366666666666667
5,0.53
6,0.55
7,0.5616666666666668
8,0.5416666666666667
9,0.5316666666666666
10,0.525
11,0.5566666666666668
12,0.7983333333333332
13,0.7983333333333332
14,0.7833333333333334
15,0.7783333333333333
16,0.7716666666666667
17,0.7700000000000001
18,0.7583333333333333
19,0.7466666666666667
20,0.7383333333333334
21,0.7333333333333334
22,0.7283333333333333
23,0.725
24,0.7233333333333334
25,0.7216666666666667
26,0.72
27,0.7133333333333334
28,0.7183333333333334
29,0.7233333333333333
30,0.7166666666666666
31,0.7016666666666668
