layer,sep_score
1,0.4666666666666666
2,0.45
3,0.49000000000000005
4,0.4966666666666667
5,0.49333333333333335
6,0.5166666666666666
7,0.47833333333333333
8,0.5083333333333333
9,0.4833333333333334
10,0.5116666666666666
11,0.5383333333333333
12,0.7783333333333333
13,0.77
14,0.7566666666666666
15,0.7433333333333334
16,0.7616666666666666
17,0.7466666666666667
18,0.7416666666666667
19,0.7300000000000001
20,0.7333333333333334
21,0.73
22,0.7283333333333334
23,0.7216666666666667
24,0.7233333333333334
25,0.7200000000000001
26,0.7166666666666666
27,0.7183333333333334
28,0.71
29,0.71
30,0.71
31,0.7133333333333333
