layer,sep_score
1,0.575
2,0.5433333333333333
3,0.5116666666666666
4,0.555
5,0.6383333333333333
6,0.5916666666666667
7,0.6833333333333333
8,0.8200000000000001
9,0.8916666666666668
10,0.7949999999999999
11,0.7966666666666666
12,0.8333333333333334
13,0.8883333333333333
14,0.775
15,0.7116666666666667
16,0.7083333333333333
17,0.7366666666666666
18,0.75
19,0.7383333333333334
20,0.755
21,0.6950000000000001
22,0.76
23,0.6866666666666668
24,0.58
25,0.615
26,0.7449999999999999
27,0.7916666666666667
28,0.7
29,0.7166666666666666
30,0.7283333333333333
31,0.6383333333333333
