layer,sep_score
1,0.59
2,0.5900000000000001
3,0.5883333333333333
4,0.5733333333333335
5,0.5833333333333334
6,0.5916666666666666
7,0.5799999999999998
8,0.5900000000000001
9,0.5683333333333334
10,0.5483333333333333
11,0.5483333333333333
12,0.7783333333333332
13,0.7550000000000001
14,0.7566666666666666
15,0.7649999999999999
16,0.7549999999999999
17,0.7516666666666667
18,0.7416666666666666
19,0.735
20,0.7316666666666667
21,0.725
22,0.7150000000000001
23,0.7133333333333334
24,0.7066666666666668
25,0.7100000000000001
26,0.7133333333333334
27,0.7116666666666667
28,0.7100000000000001
29,0.7083333333333334
30,0.7166666666666667
31,0.7166666666666667
