layer,sep_score
1,0.7683333333333333
2,0.7416666666666667
3,0.7783333333333333
4,0.8083333333333332
5,0.7616666666666666
6,0.7966666666666666
7,0.7050000000000001
8,0.6316666666666666
9,0.745
10,0.9566666666666667
11,0.7983333333333333
12,0.7783333333333333
13,0.915
14,0.8966666666666667
15,0.72
16,0.7316666666666667
17,0.7000000000000001
18,0.7083333333333334
19,0.6283333333333334
20,0.5216666666666667
21,0.4833333333333333
22,0.5900000000000001
23,0.6816666666666666
24,0.7783333333333333
25,0.7883333333333333
26,0.8033333333333333
27,0.7683333333333333
28,0.8383333333333333
29,0.85
30,0.8833333333333332
31,0.85
