layer,sep_score
1,0.4083333333333333
2,0.4033333333333333
3,0.41166666666666674
4,0.42333333333333345
5,0.41166666666666674
6,0.4033333333333333
7,0.40333333333333343
8,0.4616666666666667
9,0.4716666666666667
10,0.47333333333333333
11,0.505
12,0.8233333333333333
13,0.8183333333333334
14,0.8033333333333333
15,0.7816666666666666
16,0.7983333333333335
17,0.76
18,0.7550000000000001
19,0.7766666666666666
20,0.7866666666666667
21,0.775
22,0.7683333333333333
23,0.7633333333333333
24,0.755
25,0.755
26,0.7533333333333333
27,0.7433333333333334
28,0.7383333333333334
29,0.7350000000000001
30,0.7433333333333334
31,0.75
