layer,sep_score
1,0.8683333333333334
2,0.8183333333333334
3,0.9650000000000001
4,0.8666666666666666
5,0.89
6,0.885
7,0.7350000000000001
8,0.7883333333333333
9,0.8966666666666667
10,0.9033333333333333
11,0.845
12,0.9099999999999999
13,0.7166666666666667
14,0.7616666666666667
15,0.8150000000000001
16,0.8400000000000001
17,0.9033333333333333
18,0.8933333333333333
19,0.8783333333333333
20,0.8466666666666667
21,0.8300000000000001
22,0.7516666666666667
23,0.7249999999999999
24,0.6950000000000001
25,0.7433333333333334
26,0.745
27,0.7949999999999999
28,0.7883333333333333
29,0.8016666666666665
30,0.8166666666666667
31,0.8416666666666668
