layer,sep_score
1,0.53
2,0.7316666666666667
3,0.7016666666666665
4,0.7416666666666667
5,0.6283333333333333
6,0.775
7,0.8099999999999999
8,0.9333333333333332
9,0.9516666666666668
10,0.9433333333333334
11,0.9416666666666668
12,0.9133333333333333
13,0.8549999999999999
14,0.8716666666666667
15,0.905
16,0.9066666666666666
17,0.9299999999999999
18,0.96
19,0.9716666666666665
20,0.9683333333333334
21,0.9766666666666666
22,0.9733333333333333
23,0.9666666666666666
24,0.97
25,0.9683333333333334
26,0.9650000000000001
27,0.9683333333333334
28,0.9666666666666666
29,0.9766666666666668
30,0.9833333333333334
31,0.9516666666666665
