layer,sep_score
1,0.74
2,0.7883333333333333
3,0.8450000000000001
4,0.8300000000000001
5,0.67
6,0.8616666666666667
7,0.7133333333333333
8,0.6316666666666666
9,0.8833333333333334
10,0.9533333333333334
11,0.7833333333333333
12,0.6983333333333335
13,0.725
14,0.6933333333333335
15,0.8
16,0.8183333333333334
17,0.8183333333333334
18,0.8333333333333334
19,0.8066666666666666
20,0.7816666666666666
21,0.7749999999999999
22,0.7266666666666667
23,0.6950000000000001
24,0.72
25,0.675
26,0.6616666666666666
27,0.6500000000000001
28,0.58
29,0.5416666666666667
30,0.5083333333333333
31,0.48666666666666664
