layer,sep_score
1,0.48500000000000004
2,0.49333333333333335
3,0.4833333333333333
4,0.5716666666666667
5,0.555
6,0.49333333333333335
7,0.5050000000000001
8,0.53
9,0.5316666666666667
10,0.5383333333333333
11,0.5083333333333333
12,0.6783333333333333
13,0.675
14,0.6983333333333333
15,0.6933333333333334
16,0.7133333333333333
17,0.6849999999999999
18,0.6416666666666666
19,0.6933333333333332
20,0.615
21,0.5766666666666667
22,0.5666666666666667
23,0.575
24,0.575
25,0.5666666666666667
26,0.5866666666666667
27,0.56
28,0.6266666666666667
29,0.6233333333333333
30,0.6016666666666666
31,0.6333333333333333
