layer,sep_score
1,0.7783333333333333
2,0.6433333333333333
3,0.8133333333333335
4,0.7883333333333333
5,0.9
6,0.755
7,0.9983333333333334
8,0.9883333333333333
9,0.97
10,0.9850000000000001
11,0.9966666666666667
12,0.9866666666666667
13,0.99
14,0.9733333333333333
15,0.9366666666666668
16,0.7583333333333333
17,0.695
18,0.7
19,0.71
20,0.725
21,0.72
22,0.7233333333333333
23,0.7133333333333334
24,0.7100000000000001
25,0.7016666666666667
26,0.6900000000000001
27,0.7066666666666668
28,0.6983333333333335
29,0.7033333333333334
30,0.6966666666666667
31,0.7083333333333334
