layer,sep_score
1,0.5416666666666666
2,0.5433333333333333
3,0.5316666666666666
4,0.5733333333333334
5,0.5549999999999999
6,0.55
7,0.535
8,0.5566666666666666
9,0.5383333333333333
10,0.5449999999999999
11,0.6283333333333333
12,0.6933333333333334
13,0.755
14,0.7616666666666667
15,0.74
16,0.7483333333333334
17,0.73
18,0.7350000000000001
19,0.735
20,0.7366666666666666
21,0.7433333333333334
22,0.7416666666666668
23,0.7416666666666668
24,0.7416666666666668
25,0.74
26,0.74
27,0.7383333333333333
28,0.7266666666666667
29,0.7316666666666666
30,0.7366666666666666
31,0.7366666666666666
