layer,sep_score
1,0.5483333333333333
2,0.5383333333333333
3,0.5516666666666666
4,0.5583333333333333
5,0.5499999999999999
6,0.5449999999999999
7,0.5349999999999999
8,0.5583333333333333
9,0.5433333333333333
10,0.5466666666666666
11,0.6
12,0.6900000000000001
13,0.7316666666666667
14,0.725
15,0.7250000000000001
16,0.7183333333333334
17,0.7166666666666666
18,0.7266666666666667
19,0.7183333333333334
20,0.7233333333333334
21,0.72
22,0.7166666666666667
23,0.7083333333333334
24,0.7100000000000001
25,0.7033333333333334
26,0.6849999999999999
27,0.68
28,0.6683333333333334
29,0.6716666666666667
30,0.67
31,0.665
