layer,sep_score
1,0.55
2,0.51
3,0.5233333333333333
4,0.595
5,0.7633333333333333
6,0.7566666666666666
7,0.8716666666666667
8,0.9099999999999999
9,0.8083333333333332
10,0.8666666666666666
11,0.9650000000000001
12,0.9733333333333334
13,0.9933333333333334
14,0.9949999999999999
15,1.0
16,0.9966666666666667
17,0.9949999999999999
18,0.9933333333333334
19,0.9816666666666667
20,0.9766666666666668
21,0.9716666666666667
22,0.9783333333333333
23,0.9716666666666667
24,0.975
25,0.9716666666666667
26,0.97
27,0.97
28,0.9683333333333334
29,0.97
30,0.96
31,0.99
