layer,sep_score
1,0.6183333333333334
2,0.5483333333333332
3,0.6050000000000001
4,0.525
5,0.6566666666666666
6,0.5516666666666667
7,0.7633333333333333
8,0.9766666666666666
9,0.9733333333333333
10,0.95
11,0.97
12,0.9366666666666668
13,0.9466666666666667
14,0.9116666666666667
15,0.8783333333333333
16,0.835
17,0.8333333333333334
18,0.8433333333333334
19,0.8233333333333333
20,0.8283333333333334
21,0.8300000000000001
22,0.825
23,0.82
24,0.8166666666666667
25,0.8016666666666667
26,0.7883333333333333
27,0.7833333333333334
28,0.7816666666666666
29,0.7766666666666667
30,0.755
31,0.6900000000000001
