layer,sep_score
1,0.8583333333333332
2,0.7466666666666667
3,0.52
4,0.5166666666666666
5,0.9816666666666667
6,0.9283333333333333
7,0.9666666666666666
8,0.9916666666666668
9,0.9983333333333334
10,0.9983333333333334
11,0.9983333333333334
12,0.9966666666666667
13,0.9949999999999999
14,0.9983333333333334
15,0.9983333333333334
16,1.0
17,1.0
18,1.0
19,1.0
20,0.9916666666666668
21,0.985
22,0.9650000000000001
23,0.9183333333333333
24,0.8533333333333335
25,0.8566666666666667
26,0.8416666666666666
27,0.8266666666666668
28,0.8333333333333334
29,0.8433333333333334
30,0.8566666666666667
31,0.8883333333333333
