layer,sep_score
1,0.5933333333333333
2,0.5933333333333333
3,0.5933333333333333
4,0.6
5,0.6033333333333333
6,0.6066666666666667
7,0.6
8,0.6
9,0.585
10,0.5916666666666666
11,0.665
12,0.65
13,0.6966666666666665
14,0.725
15,0.7683333333333333
16,0.725
17,0.7433333333333334
18,0.7366666666666667
19,0.7316666666666667
20,0.7333333333333334
21,0.735
22,0.7283333333333333
23,0.7300000000000001
24,0.7266666666666666
25,0.7283333333333333
26,0.7283333333333333
27,0.72
28,0.72
29,0.725
30,0.7233333333333334
31,0.7166666666666666
