layer,sep_score
1,0.5533333333333333
2,0.5283333333333333
3,0.6016666666666668
4,0.6166666666666667
5,0.805
6,0.78
7,0.865
8,0.945
9,0.9316666666666666
10,0.8949999999999999
11,0.9883333333333333
12,0.9633333333333333
13,0.8233333333333335
14,0.8133333333333332
15,0.8233333333333333
16,0.795
17,0.8216666666666667
18,0.7883333333333333
19,0.74
20,0.7283333333333333
21,0.7316666666666667
22,0.7383333333333334
23,0.7366666666666667
24,0.73
25,0.73
26,0.7333333333333333
27,0.735
28,0.735
29,0.7416666666666667
30,0.7366666666666666
31,0.7266666666666666
