layer,sep_score
1,0.5816666666666667
2,0.6533333333333333
3,0.9350000000000002
4,0.9733333333333333
5,0.9966666666666667
6,0.9949999999999999
7,0.99
8,0.99
9,0.9933333333333334
10,0.9816666666666667
11,0.9866666666666667
12,0.9916666666666668
13,0.9883333333333333
14,0.9766666666666666
15,1.0
16,0.9933333333333334
17,0.975
18,0.9850000000000001
19,0.9583333333333333
20,0.9866666666666667
21,0.975
22,0.9466666666666667
23,0.9633333333333333
24,0.9466666666666667
25,0.9383333333333335
26,0.9416666666666668
27,0.9233333333333332
28,0.9166666666666666
29,0.9366666666666668
30,0.9550000000000001
31,0.925
