layer,sep_score
1,0.5466666666666666
2,0.545
3,0.5333333333333334
4,0.5366666666666667
5,0.5466666666666666
6,0.5383333333333333
7,0.5549999999999999
8,0.5700000000000001
9,0.54
10,0.5183333333333333
11,0.6716666666666666
12,0.6816666666666668
13,0.7583333333333334
14,0.7566666666666666
15,0.7483333333333334
16,0.745
17,0.75
18,0.7533333333333334
19,0.7449999999999999
20,0.755
21,0.75
22,0.7466666666666666
23,0.7466666666666667
24,0.745
25,0.7483333333333334
26,0.7433333333333334
27,0.7516666666666667
28,0.74
29,0.7450000000000001
30,0.7516666666666667
31,0.7066666666666667
