layer,sep_score
1,0.6233333333333333
2,0.6966666666666667
3,0.9949999999999999
4,0.9616666666666667
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,0.9983333333333334
11,1.0
12,0.9966666666666667
13,0.9866666666666667
14,0.985
15,0.9949999999999999
16,0.985
17,0.9800000000000001
18,0.9783333333333333
19,0.97
20,0.9533333333333334
21,0.9466666666666667
22,0.8766666666666666
23,0.9
24,0.8433333333333334
25,0.8266666666666665
26,0.8300000000000001
27,0.8316666666666667
28,0.8366666666666667
29,0.8483333333333333
30,0.8516666666666666
31,0.8800000000000001
