layer,sep_score
1,0.4050000000000001
2,0.41500000000000004
3,0.41166666666666674
4,0.42833333333333334
5,0.4216666666666667
6,0.42000000000000004
7,0.42666666666666664
8,0.4533333333333333
9,0.43
10,0.5133333333333334
11,0.7283333333333334
12,0.7616666666666667
13,0.8216666666666667
14,0.8166666666666667
15,0.8083333333333333
16,0.8099999999999999
17,0.7766666666666667
18,0.775
19,0.7816666666666666
20,0.7933333333333333
21,0.7833333333333334
22,0.775
23,0.7816666666666666
24,0.775
25,0.7716666666666667
26,0.7816666666666666
27,0.7766666666666666
28,0.7833333333333332
29,0.7849999999999999
30,0.7833333333333332
31,0.78
