layer,sep_score
1,0.7150000000000001
2,0.7316666666666667
3,0.85
4,0.8733333333333333
5,0.8383333333333333
6,0.7899999999999999
7,0.8766666666666666
8,0.9416666666666667
9,0.8583333333333332
10,0.8300000000000001
11,0.9516666666666668
12,0.9483333333333335
13,0.9199999999999999
14,0.9216666666666666
15,0.7833333333333332
16,0.7100000000000001
17,0.6883333333333334
18,0.6649999999999999
19,0.6566666666666666
20,0.675
21,0.665
22,0.6933333333333332
23,0.6983333333333333
24,0.6666666666666667
25,0.6683333333333332
26,0.6583333333333333
27,0.68
28,0.6816666666666666
29,0.6799999999999999
30,0.6816666666666668
31,0.6866666666666668
