layer,sep_score
1,0.8400000000000001
2,0.53
3,0.6916666666666667
4,0.7483333333333333
5,1.0
6,1.0
7,0.8533333333333333
8,0.9350000000000002
9,0.825
10,0.805
11,0.9483333333333335
12,0.9166666666666666
13,0.8816666666666666
14,0.9200000000000002
15,0.8366666666666666
16,0.8183333333333334
17,0.8133333333333332
18,0.7533333333333333
19,0.72
20,0.7216666666666667
21,0.7083333333333334
22,0.7483333333333334
23,0.7583333333333333
24,0.74
25,0.7416666666666668
26,0.7466666666666667
27,0.7450000000000001
28,0.7483333333333333
29,0.74
30,0.7366666666666667
31,0.72
