layer,sep_score
1,0.4883333333333334
2,0.4833333333333333
3,0.485
4,0.4916666666666667
5,0.4966666666666667
6,0.5266666666666667
7,0.52
8,0.5250000000000001
9,0.49333333333333335
10,0.525
11,0.655
12,0.675
13,0.73
14,0.7216666666666666
15,0.7366666666666667
16,0.72
17,0.715
18,0.7116666666666667
19,0.6799999999999999
20,0.6783333333333333
21,0.6666666666666666
22,0.6599999999999999
23,0.6649999999999999
24,0.6599999999999999
25,0.655
26,0.6583333333333333
27,0.6599999999999999
28,0.64
29,0.655
30,0.6483333333333333
31,0.6533333333333333
