type,model,coeff,bbq_acc,mmlu_acc
merged,meta-llama/Llama-3.1-8B-Instruct,-5,0.648,0.534
merged,meta-llama/Llama-3.1-8B-Instruct,-4,0.674,0.547
merged,meta-llama/Llama-3.1-8B-Instruct,-3,0.698,0.555
merged,meta-llama/Llama-3.1-8B-Instruct,-2,0.721,0.564
merged,meta-llama/Llama-3.1-8B-Instruct,-1,0.741,0.57
merged,meta-llama/Llama-3.1-8B-Instruct,0,0.759,0.575
merged,meta-llama/Llama-3.1-8B-Instruct,1,0.776,0.579
merged,meta-llama/Llama-3.1-8B-Instruct,2,0.79,0.581
merged,meta-llama/Llama-3.1-8B-Instruct,3,0.802,0.583
merged,meta-llama/Llama-3.1-8B-Instruct,4,0.814,0.581
merged,meta-llama/Llama-3.1-8B-Instruct,5,0.823,0.579
