type,model,coeff,bbq_acc,mmlu_acc
merged,mistralai/Mistral-7B-Instruct-v0.1,-5,0.417,0.449
merged,mistralai/Mistral-7B-Instruct-v0.1,-4,0.46,0.489
merged,mistralai/Mistral-7B-Instruct-v0.1,-3,0.474,0.499
merged,mistralai/Mistral-7B-Instruct-v0.1,-2,0.488,0.5
merged,mistralai/Mistral-7B-Instruct-v0.1,-1,0.508,0.501
merged,mistralai/Mistral-7B-Instruct-v0.1,0,0.536,0.501
merged,mistralai/Mistral-7B-Instruct-v0.1,1,0.569,0.501
merged,mistralai/Mistral-7B-Instruct-v0.1,2,0.61,0.494
merged,mistralai/Mistral-7B-Instruct-v0.1,3,0.65,0.486
merged,mistralai/Mistral-7B-Instruct-v0.1,4,0.682,0.473
merged,mistralai/Mistral-7B-Instruct-v0.1,5,0.695,0.46
